LOC_ID,LOC_NAME,AUSPICE,InfantSpace,ToddlerSpace,PreschoolSpace,KindergartenSpace,SchoolAgeSpace
1013,Lakeshore Community Child Care Centre,Non-Profit,0,20,32,52,60
1014,Alternative Primary School Parent Group,Non-Profit,0,0,12,26,45
1015,Cardinal Leger Child Care Centre (Scarborough),Non-Profit,0,10,16,26,50
1016,George Brown - Richmond Adelaide Childcare Centre,Non-Profit,10,15,40,0,0
1017,Woodland Nursery School (Warden Woods Community Centre),Non-Profit,0,10,16,0,0
1021,Centennial College Progress Campus Child Care Centre,Non-Profit,10,20,32,0,0
1029,Air-O-Down Child Care Centre,Non-Profit,10,15,24,0,0
1031,Cedarbrae Day Nurseries (20 Greencrest),Commercial,0,0,16,0,30
1037,Tiago Avenue Community Child Care,Non-Profit,0,0,21,0,30
1041,Ledbury Park Child Care Program,Non-Profit,0,0,24,39,90
1044,Alderwood Action After School,Non-Profit,0,15,32,52,90
1045,Children's Village Day Care Centre #1,Commercial,10,10,32,12,30
1046,Ferncliff Daycare And After School Group,Non-Profit,0,0,32,52,100
1055,Balmy Beach Community Day Care Centre,Non-Profit,0,0,16,52,75
1060,Braeburn Woods Day Care Centre,Non-Profit,0,10,16,25,30
1065,Network Child Care Services - Child's Nest Early Learning Centre,Non-Profit,20,20,0,0,0
1067,Martingrove Child Care Centre,Commercial,0,15,24,10,15
1070,Discovery Place Child Care Centre Ltd.,Commercial,10,20,48,20,45
1072,Carefree Preschool,Commercial,20,15,48,0,0
1079,East Scarb. Boys' & Girls' Club - Eastside Child Care Centre,Non-Profit,0,15,24,26,45
1082,Macaulay - Regent Street Child Care Centre,Non-Profit,10,10,24,0,0
1083,Lori Gardens Centre For Early Learning,Commercial,10,15,28,22,25
1086,Network - Child's Nest Early Years And Child Care Centre - 123 Cosburn,Non-Profit,0,10,48,0,0
1091,Eastside Club Day Care - 100 Galloway Road,Non-Profit,10,15,24,0,0
1093,Martin Luther Child Care - Superior,Non-Profit,0,10,16,0,0
1094,Arbor Glen Community Child Care Centre,Non-Profit,0,0,24,26,45
1095,Frankland Day Care Centre,Non-Profit,0,0,0,26,50
1098,Early Adventures Nursery School & Child Care,Commercial,0,15,24,26,30
1101,Beatty Buddies Daycare,Non-Profit,0,15,40,65,90
1103,Selwyn Community Child Care Centre,Non-Profit,0,0,22,33,35
1104,Mandi Day Care,Non-Profit,0,25,32,0,15
1107,Educare Kindergarten - Rathburn,Commercial,0,10,24,0,30
1111,Rolph Road Day Care,Non-Profit,0,0,20,40,65
1116,Guildwood Child Care,Commercial,10,20,32,12,30
1123,Ernie Boccia Creative Child Day Care (Rasheda Alli),Commercial,10,20,16,0,0
1125,First Stage - Burnhamthorpe,Non-Profit,10,15,16,0,0
1127,Fairbank Memorial Day Care Centre,Non-Profit,0,10,16,13,30
1129,First Stage - West Humber,Non-Profit,10,15,16,0,0
1130,Red Apple Day Care (Overlea),Non-Profit,10,10,16,0,0
1135,Fraser School - Community Day Care Centre,Non-Profit,0,10,44,26,60
1137,Golf Road School Child Care Centre Inc.,Non-Profit,0,10,16,26,30
1138,McKee McKids Enrichment Centre,Non-Profit,0,0,24,52,90
1140,Leaside Day Care Centre,Non-Profit,20,35,44,0,0
1141,Gold Circle Early Childhood Day Care Centre,Non-Profit,0,15,24,26,45
1148,Park Lawn Preschool,Non-Profit,0,15,24,39,75
1150,George Harvey Child Care Centre,Non-Profit,10,15,16,0,0
1157,Children's Circle Of St. Barnabas,Non-Profit,10,15,56,26,45
1160,Morningside Children's Centre,Commercial,0,15,16,10,0
1167,McNicoll Avenue Child Care Program,Non-Profit,10,15,24,0,0
1169,N.Y.A.D. Guildwood,Non-Profit,0,0,16,26,30
1170,Arpi Nursery School,Commercial,20,25,64,0,0
1174,Bonaventure Child Care Centre,Non-Profit,10,25,32,0,0
1180,Children's Primary Centre,Non-Profit,0,0,24,12,0
1182,Happy Day Child Care Centre,Commercial,0,0,24,12,20
1190,Abiona Centre For Infant And Early Mental Health's Early Learning,Non-Profit,10,15,0,0,0
1192,Nsheemaehn Child Care Centre,Non-Profit,10,10,32,0,0
1193,Childspace Day Care Corporation # 1 (50 Woodmount),Non-Profit,0,0,0,52,68
1194,Royal Day Care Centre Weston Inc,Commercial,0,10,56,0,39
1196,Rosalie Hall Early Learning And Child Care Centre,Non-Profit,30,25,24,0,0
1200,Alpha Site,Non-Profit,0,0,0,0,30
1201,Humewood Day Care Centre,Non-Profit,0,0,32,52,30
1204,Rexdale Day Nursery,Non-Profit,0,0,48,0,25
1205,Sandbox Day Care Centre,Commercial,0,10,38,12,28
1207,Humber Bay Child Care Centre,Non-Profit,0,15,24,26,60
1211,Humber Child Development Centre,Non-Profit,20,30,48,0,0
1213,Avenue Road Nursery School,Commercial,0,45,48,0,0
1216,Roseland Day Care Centre,Non-Profit,0,10,16,13,30
1221,Romero Bears Child Care Centre,Non-Profit,0,10,8,0,0
1229,Lescon Learners Child Care,Non-Profit,10,10,24,26,30
1231,Childspace Day Care Corporation # 2 (690 Carlaw),Non-Profit,0,15,24,26,45
1232,Dawes Road Centre For Early Learning,Commercial,20,20,40,0,0
1235,Silverstone Learning Centre,Commercial,0,10,16,20,30
1248,Brock Early Learning Centre,Non-Profit,0,15,32,26,60
1250,Sunny Faces Day Care Centre - Rivercrest,Non-Profit,0,0,24,26,50
1254,Baycrest Child Care Centre,Non-Profit,10,30,48,52,30
1255,Campus Community Co-Operative Day Care,Non-Profit,10,15,24,0,0
1266,Network Child Care Services - Just Kids Child Care Centre,Non-Profit,10,20,32,0,0
1267,Plains Road Child Care Inc.,Non-Profit,10,20,32,52,30
1271,J.R. Wilcox Day Care Centre,Non-Profit,10,15,24,39,45
1272,Lef- Silverthorn Early Learning Earth Centre,Non-Profit,10,10,16,0,0
1278,Sheppard Square Day Nursery,Commercial,10,30,48,0,30
1280,Tiny Treasure Montessori,Commercial,0,10,48,12,0
1285,Kingsview Child Care,Commercial,20,15,40,0,24
1287,Terry Tan Child Centre (Bloordale),Non-Profit,10,25,32,0,0
1288,A & A Child Care Centre,Non-Profit,20,40,48,0,30
1294,Cottingham Child Care Centre,Non-Profit,0,0,24,26,30
1297,West Hill Centre For Early Learning (Centres For Early Learning Inc.),Commercial,10,15,40,0,0
1298,B.F. Toronto Centre For Early Childhood Education,Commercial,0,10,24,26,30
1306,Bayview Gardens Day Care Centre,Commercial,0,30,40,0,0
1309,Tlc - Tender Loving Care (Cross St.),Commercial,0,10,16,10,24
1324,Cedarbrae Day Nursery (1375 Midland),Commercial,20,35,16,0,0
1328,Donald C. Macdonald Child Care Centre,Non-Profit,10,25,31,0,0
1335,Blaydon Community Day Care Centre,Non-Profit,0,10,16,26,22
1336,Lef - Vaughan Road Infant And Toddler Centre,Non-Profit,10,15,24,0,0
1339,Cedarbrae Day Nursery,Commercial,0,0,32,20,45
1340,Central Eglinton Childrens' Centre,Non-Profit,0,15,48,104,135
1347,Children Of Tomorrow - John McCrae,Non-Profit,0,0,0,52,90
1348,Brookhaven Child Care,Non-Profit,0,15,24,52,60
1350,Terry Tan Child Care (Rossburn) Facility #4450,Non-Profit,10,10,32,26,30
1351,Birchmount Place Centre For Early Learning,Commercial,10,15,32,0,24
1356,Vincent Massey Academy - (521909 Ontario Ltd.),Commercial,0,15,64,0,0
1360,Immanuel Child Care Centre,Non-Profit,0,30,56,0,0
1361,Dandylion Childcare Centre,Non-Profit,0,0,32,78,150
1367,Kiddies Lodge Day Care Centre,Commercial,0,15,24,0,30
1371,Knob Hill Day Nursery,Non-Profit,10,15,24,0,0
1372,Tng Central Neighbourhood House,Non-Profit,10,20,16,0,0
1373,Calico Saints Child Care Centre,Non-Profit,10,15,24,65,60
